API call	Permission(s)	Notes		
android.accounts.IAccountManager$Stub$Proxy.hasFeatures(android.accounts.IAccountManagerResponse,android.accounts.Account,[Ljava.lang.String;)	android.permission.GET_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.invalidateAuthToken(java.lang.String,java.lang.String)	android.permission.MANAGE_ACCOUNTS or android.permission.USE_CREDENTIALS			
android.accounts.IAccountManager$Stub$Proxy.peekAuthToken(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.removeAccount(android.accounts.IAccountManagerResponse,android.accounts.Account)	android.permission.MANAGE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.setAuthToken(android.accounts.Account,java.lang.String,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.setPassword(android.accounts.Account,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.setUserData(android.accounts.Account,java.lang.String,java.lang.String)	android.permission.AUTHENTICATE_ACCOUNTS			
android.accounts.IAccountManager$Stub$Proxy.updateCredentials(android.accounts.IAccountManagerResponse,android.accounts.Account,java.lang.String,boolean,android.os.Bundle)	android.permission.MANAGE_ACCOUNTS			
android.app.Activity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.Activity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.Activity.sendBroadcast(android.content.Intent)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Activity.sendOrderedBroadcast(android.content.Intent,java.lang.String)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Activity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.Activity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.Activity.setContentView(int)	android.permission.INTERNET or NONE	The INTERNET permission is required when setting a content view with a WebView.		
android.app.Activity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.Activity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.Activity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.Activity.startActivity(android.content.Intent)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Activity.startActivityForResult(android.content.Intent,int)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Activity.startActivityFromChild(android.app.Activity,android.content.Intent,int)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.Activity.startActivityIfNeeded(android.content.Intent,int)		The permission check depends on the Intent; see the Intent permissions section.		
android.app.ActivityGroup.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.ActivityGroup.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.ActivityGroup.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.ActivityGroup.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.ActivityGroup.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.ActivityGroup.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.ActivityGroup.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.ActivityManager.clearApplicationUserData(java.lang.String,android.content.pm.IPackageDataObserver)	android.permission.CLEAR_APP_USER_DATA			
android.app.ActivityManager.forceStopPackage(java.lang.String)	android.permission.FORCE_STOP_PACKAGES			
android.app.ActivityManager.getRecentTasks(int,int)	android.permission.GET_TASKS			
android.app.ActivityManager.getRunningTasks(int)	android.permission.GET_TASKS			
android.app.ActivityManager.killBackgroundProcesses(java.lang.String)	android.permission.RESTART_PACKAGES or android.permission.KILL_BACKGROUND_PROCESSES			
android.app.ActivityManager.restartPackage(java.lang.String)	android.permission.RESTART_PACKAGES or android.permission.KILL_BACKGROUND_PROCESSES			
android.app.ActivityManagerNative.clearApplicationUserData(java.lang.String,android.content.pm.IPackageDataObserver)	android.permission.CLEAR_APP_USER_DATA			
android.app.ActivityManagerNative.forceStopPackage(java.lang.String)	android.permission.FORCE_STOP_PACKAGES			
android.app.ActivityManagerNative.getRecentTasks(int,int)	android.permission.GET_TASKS			
android.app.ActivityManagerNative.getRunningTasks(int)	android.permission.GET_TASKS			
android.app.ActivityManagerNative.killBackgroundProcesses(java.lang.String)	android.permission.RESTART_PACKAGES or android.permission.KILL_BACKGROUND_PROCESSES			
android.app.ActivityManagerNative.restartPackage(java.lang.String)	android.permission.RESTART_PACKAGES or android.permission.KILL_BACKGROUND_PROCESSES			
android.app.admin.DevicePolicyManager.getRemoveWarning(android.content.ComponentName,android.os.RemoteCallback)	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.DevicePolicyManager.reportFailedPasswordAttempt()	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.DevicePolicyManager.reportSuccessfulPasswordAttempt()	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.DevicePolicyManager.setActiveAdmin(android.content.ComponentName)	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.DevicePolicyManager.setActivePasswordState(int,int)	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.IDevicePolicyManager$Stub$Proxy.getRemoveWarning(android.content.ComponentName,android.os.RemoteCallback)	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.IDevicePolicyManager$Stub$Proxy.reportFailedPasswordAttempt()	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.IDevicePolicyManager$Stub$Proxy.reportSuccessfulPasswordAttempt()	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.IDevicePolicyManager$Stub$Proxy.setActiveAdmin(android.content.ComponentName)	android.permission.BIND_DEVICE_ADMIN			
android.app.admin.IDevicePolicyManager$Stub$Proxy.setActivePasswordState(int,int)	android.permission.BIND_DEVICE_ADMIN			
android.app.AlarmManager.setTime(long)	android.permission.SET_TIME			
android.app.AlarmManager.setTimeZone(java.lang.String)	android.permission.SET_TIME_ZONE			
android.app.AliasActivity.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.AliasActivity.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.AliasActivity.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.AliasActivity.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.AliasActivity.setPersistent(boolean)	android.permission.PERSISTENT_ACTIVITY			
android.app.AliasActivity.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.AliasActivity.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.Application.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.Application.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	The permission check depends on the Intent; see the Intent permissions section.		
android.app.Application.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	The permission check depends on the Intent; see the Intent permissions section.		
android.app.Application.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.Application.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.Application.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.Application.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.backup.BackupAgent.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.backup.BackupAgent.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	The permission check depends on the Intent; see the Intent permissions section.		
android.app.backup.BackupAgent.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	The permission check depends on the Intent; see the Intent permissions section.		
android.app.backup.BackupAgent.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.backup.BackupAgent.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.backup.BackupAgent.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.backup.BackupAgentHelper.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.backup.BackupAgentHelper.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.backup.BackupAgentHelper.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY			
android.app.backup.BackupAgentHelper.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.backup.BackupAgentHelper.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.backup.BackupAgentHelper.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.backup.BackupManager.beginRestoreSession()	android.permission.BACKUP			
android.app.backup.BackupManager.dataChanged(java.lang.String)	android.permission.BACKUP or NONE	Without the BACKUP permission, the argument must be your own package.  With the BACKUP permission, the argument can be other packages.		
android.app.backup.BackupManager.requestRestore(android.app.backup.RestoreObserver)	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.backupNow()	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.beginRestoreSession(java.lang.String)	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.clearBackupData(java.lang.String)	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.dataChanged(java.lang.String)	android.permission.BACKUP or NONE	Without the BACKUP permission, the argument must be your own package.  With the BACKUP permission, the argument can be other packages.		
android.app.backup.IBackupManager$Stub$Proxy.getCurrentTransport()	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.isBackupEnabled()	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.listAllTransports()	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.selectBackupTransport(java.lang.String)	android.permission.BACKUP			
android.app.backup.IBackupManager$Stub$Proxy.setAutoRestore(boolean)	android.permission.BACKUP AND android.permission.WRITE_SETTINGS AND android.permission.WRITE_SECURE_SETTINGS			
android.app.backup.IBackupManager$Stub$Proxy.setBackupEnabled(boolean)	android.permission.BACKUP AND android.permission.WRITE_SETTINGS AND android.permission.WRITE_SECURE_SETTINGS			
android.app.ContextImpl.clearWallpaper()	android.permission.SET_WALLPAPER			
android.app.ContextImpl.removeStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	The permission check depends on the Intent; see the Intent permissions section.		
android.app.ContextImpl.sendStickyBroadcast(android.content.Intent)	android.permission.BROADCAST_STICKY	The permission check depends on the Intent; see the Intent permissions section.		
android.app.ContextImpl.sendStickyOrderedBroadcast(android.content.Intent,android.content.BroadcastReceiver,android.os.Handler,int,java.lang.String,android.os.Bundle)	android.permission.BROADCAST_STICKY			
android.app.ContextImpl.setWallpaper(android.graphics.Bitmap)	android.permission.SET_WALLPAPER			
android.app.ContextImpl.setWallpaper(java.io.InputStream)	android.permission.SET_WALLPAPER			
android.app.ContextImpl$ApplicationContentResolver.addPeriodicSync(android.accounts.Account,java.lang.String,android.os.Bundle,long)	android.permission.WRITE_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.getCurrentSync()	android.permission.READ_SYNC_STATS			
android.app.ContextImpl$ApplicationContentResolver.getIsSyncable(android.accounts.Account,java.lang.String)	android.permission.READ_SYNC_SETTINGS			
android.app.ContextImpl$ApplicationContentResolver.getMasterSyncAutomatically()	android.permission.READ_SYNC_SETTINGS			
